AI Python Developer,https://www.indeed.com/rc/clk?jk=721d932d5bc17d5f&fccid=b5004022cc4c31b1&vjs=3,Expedient,"Hybrid remote in Pittsburgh, PA 15212","Posted
Just posted","$60,000 - $100,000 a year"
Data Visualization Associate,https://www.indeed.com/rc/clk?jk=4da1f196e2de2b82&fccid=dd616958bd9ddc12&vjs=3,The Intelligence & Security Academy,"Zelienople, PA 16063","Employer
Active 5 days ago","$50,000 - $65,000 a year"
Sr. Data Analyst,https://www.indeed.com/rc/clk?jk=0a04fefdd20252d6&fccid=126e3afd205caa95&vjs=3,Thermo Fisher Scientific,"Pittsburgh, PA 15205","Posted
Posted 13 days ago",
"Director, IT Data Architecture and Strategy",https://www.indeed.com/rc/clk?jk=411caa35bda51b93&fccid=68ec8a8ee6cf5ac6&vjs=3,Xylem,"Pittsburgh, PA 15236","Posted
Posted 8 days ago","$132,000 - $237,000 a year"
Sales Manager SMS Digital,https://www.indeed.com/rc/clk?jk=f7a700547fa35ecb&fccid=73b91276689581e6&vjs=3,SMS group Inc,"Pittsburgh, PA 15212","Posted
Posted 8 days ago",
"Founding Fullstack Engineer, AI Startup",https://www.indeed.com/rc/clk?jk=344261ed3b48f051&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Hybrid remote in Pittsburgh, PA 15213","Posted
Posted 9 days ago","$100,000 - $200,000 a year"
"Founding Machine Learning Engineer, Seed Startup",https://www.indeed.com/rc/clk?jk=adf22a2ccb173827&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 10 days ago","$130,000 - $180,000 a year"
Sales Ex - COE - Client Success Behavioral Research Associate Manager,https://www.indeed.com/rc/clk?jk=e029f16c1d948236&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,"Pittsburgh, PA 15222 
(Central Business District area)","Posted
Posted 11 days ago",
Sales Ex - COE – Client Success - Advanced Analytics Manager,https://www.indeed.com/rc/clk?jk=8e272d0faedeeaad&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,"Pittsburgh, PA 15222 
(Central Business District area)","Posted
Posted 11 days ago",
Advanced Financial Data Analyst,https://www.indeed.com/rc/clk?jk=9a9a6027e6adbb91&fccid=fe4d8b80f2de6f30&vjs=3,"Bechtel Plant Machinery, Inc.","Monroeville, PA","Posted
Posted 16 days ago","$64,416 - $144,672 a year"
Managing Director for Data Science,https://www.indeed.com/rc/clk?jk=0005bfd768d39941&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 20 days ago",
"Data Scientist, Associate",https://www.indeed.com/rc/clk?jk=22187d0bd2f9737e&fccid=884c78d08b75cde1&vjs=3,Giant Eagle,"Pittsburgh, PA 15238","Posted
Posted 16 days ago",
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=7364e4f6e9fd5fa3&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 15 days ago",
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=76988b8dc2453f84&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Posted
Posted 20 days ago",
Large Language Model Data Scientist,https://www.indeed.com/rc/clk?jk=aeebc00e09eab76e&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Posted
Posted 20 days ago",
Principal Engineer - Software (AI Research Scientist),https://www.indeed.com/rc/clk?jk=ac0538e6d4f5741b&fccid=8c38fd5503448ab2&vjs=3,Microchip Technology,"Pittsburgh, PA","Posted
Posted 14 days ago",
Senior Machine Learning Research Scientist,https://www.indeed.com/rc/clk?jk=8b97b481863d8866&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 15 days ago",
Machine Learning Research Scientist,https://www.indeed.com/rc/clk?jk=fe7035273f2bf860&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 15 days ago",
General Kipo | Senior ML Engineer,https://www.indeed.com/rc/clk?jk=9465c94be187f5e2&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Remote in Pittsburgh, PA 15213","Posted
Posted 19 days ago","$140,000 - $180,000 a year"
Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=63511f02dc62e7a0&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 15 days ago",
Data Scientist,https://www.indeed.com/rc/clk?jk=925d979eac1d319f&fccid=156c7820d1988640&vjs=3,SAP,"Pittsburgh, PA 15212","Posted
Posted 26 days ago","$82,170 - $139,680 a year"
Data Scientist,https://www.indeed.com/rc/clk?jk=3022343705d9e36d&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 26 days ago",
Data Scientist IV,https://www.indeed.com/rc/clk?jk=f6418f743a2b1f66&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 26 days ago","$86,502 - $108,127 a year"
Data Engineering Manager,https://www.indeed.com/rc/clk?jk=b215b4534c7e97c5&fccid=932bcab1f7ee18f8&vjs=3,Govini,"Pittsburgh, PA","Posted
Posted 27 days ago",
Senior Data Engineer - National Robotics Engineering Center,https://www.indeed.com/rc/clk?jk=532ba2d773b27366&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 23 days ago",
Medical Data Scientist,https://www.indeed.com/rc/clk?jk=417d7d5612169f3b&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Manager of Space Management,https://www.indeed.com/rc/clk?jk=fe2c6f1700d17386&fccid=55a2bdb0a91b873d&vjs=3,DICK'S Sporting Goods,"Coraopolis, PA 15108","Posted
Posted 30+ days ago",
Sr. Data Analyst (Financial),https://www.indeed.com/rc/clk?jk=3034b76ad935262c&fccid=16e0f9023d93faa8&vjs=3,Techstra Solutions,"Pittsburgh, PA 15217 
(Squirrel Hill South area)","Posted
Posted 28 days ago",
Senior Technology Risk Auditor,https://www.indeed.com/rc/clk?jk=0d73d4d55f47ceed&fccid=55a2bdb0a91b873d&vjs=3,DICK'S Sporting Goods,"Coraopolis, PA 15108","Posted
Posted 30+ days ago",
"Senior Software Engineer, Machine Learning Infrastructure",https://www.indeed.com/rc/clk?jk=3b71691acb0d6490&fccid=dd616958bd9ddc12&vjs=3,Stack AV,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Data Driven Approaches to Understand Well Integrity,https://www.indeed.com/rc/clk?jk=1922460c1a5897db&fccid=13f0d1d1bc436d9b&vjs=3,National Energy Technology Laboratory (NETL),"Pittsburgh, PA","Posted
Posted 30 days ago","From $3,720 a month"
Staff Data Scientist,https://www.indeed.com/rc/clk?jk=929b3ef315317e5e&fccid=ef4be98af276034b&vjs=3,Kraft Heinz Company,"Hybrid remote in Pittsburgh, PA","Posted
Posted 30+ days ago","$110,200 - $137,800 a year"
Full Stack Developer - School of Computer Science - CSD,https://www.indeed.com/rc/clk?jk=250cbd2d536d0a18&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=c6e0e304f774f444&fccid=932bcab1f7ee18f8&vjs=3,Govini,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Audit-Transformation-Data Science Manager,https://www.indeed.com/rc/clk?jk=60cc8bba775cc590&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Audit-Transformation- Senior Data Scientist,https://www.indeed.com/rc/clk?jk=226591763d0cbb5f&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Employer
Active 16 days ago",
Analyst - Advanced Analytics,https://www.indeed.com/rc/clk?jk=13725e3b8c794eac&fccid=f8c85b296194776f&vjs=3,Ally Financial,"Cranberry Township, PA","Posted
Posted 30+ days ago",
Data Analyst,https://www.indeed.com/rc/clk?jk=7405d5b39b3c9a2c&fccid=ac6e98812e8bbb27&vjs=3,Interpace Diagnostics Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Data Validation Chemist – Scientist I (Part Time- Virtual),https://www.indeed.com/rc/clk?jk=5d8134c3dca6356a&fccid=4155d8fe30381239&vjs=3,Environmental Data Validation,"Pittsburgh, PA 15221","Posted
Posted 30+ days ago",
Data Engineer,https://www.indeed.com/rc/clk?jk=85d888ab5617921f&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Manager - Performance Analytics,https://www.indeed.com/rc/clk?jk=caeffd1a3f6b3f88&fccid=ed751ece28d56e2f&vjs=3,Pittsburgh Regional Transit,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago","$94,044 - $141,060 a year"
Data Validation Chemist – Scientist II (Part Time-Virtual),https://www.indeed.com/rc/clk?jk=5040521cdb1dde97&fccid=4155d8fe30381239&vjs=3,Environmental Data Validation,"Pittsburgh, PA 15221","Posted
Posted 30+ days ago",
Data Validation Chemist-Scientist III (Part Time-Virtual),https://www.indeed.com/rc/clk?jk=f54f046084c502ed&fccid=4155d8fe30381239&vjs=3,Environmental Data Validation,"Pittsburgh, PA 15221","Posted
Posted 30+ days ago",
Bioinformatician,https://www.indeed.com/rc/clk?jk=14b892c42854154b&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago","$53,617 - $71,489 a year"
Marketing Data Science Program Manager,https://www.indeed.com/rc/clk?jk=9d9fa353eb14c91f&fccid=126e3afd205caa95&vjs=3,Thermo Fisher Scientific,"Pittsburgh, PA 15205","Posted
Posted 30+ days ago",
Machine Learning Engineer - CERT Data Science Team,https://www.indeed.com/rc/clk?jk=1fb8da87d8f218f9&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
Data Science Mgr Sr (Intelligent Automation),https://www.indeed.com/rc/clk?jk=8b97712de38bcf0a&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Senior AI Security Researcher,https://www.indeed.com/rc/clk?jk=17c1b855abd88aad&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
Sales Director - Data & AI,https://www.indeed.com/rc/clk?jk=fb1edfe1e3ef7f29&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,"Pittsburgh, PA 15222 
(Central Business District area)","Employer
Active 10 days ago",
Sr. Data Analyst,https://www.indeed.com/rc/clk?jk=aeec2f43968cb581&fccid=126e3afd205caa95&vjs=3,Thermo Fisher Scientific,"Pittsburgh, PA 15275 
(Pittsburgh International Airport area)","Posted
Posted 30+ days ago",
Bus Exp Plan & Admin Spec Sr,https://www.indeed.com/rc/clk?jk=5d35d13775b2584d&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Software Engineer Sr - Conversational AI Virtual Assistant,https://www.indeed.com/rc/clk?jk=75273496c4f3f25c&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Research Scientist - Adversarial Machine Learning,https://www.indeed.com/rc/clk?jk=15f0568a2ff615d2&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
"Director, Managing Counsel- Legal Data Management & Advisory",https://www.indeed.com/rc/clk?jk=120ade2ab1834c77&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Hybrid remote in Pittsburgh, PA 15219","Posted
Posted 30+ days ago",
Senior Research Scientist - Adversarial Machine Learning,https://www.indeed.com/rc/clk?jk=5f86055578fbde3d&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
"Director, Managing Counsel- Legal Data Management & Advisory",https://www.indeed.com/rc/clk?jk=a62c0c7f5b9af630&fccid=b4048be2884af072&vjs=3,The Bank of New York Mellon Corporation,"Hybrid remote in Pittsburgh, PA","Posted
Posted 30+ days ago",
Data Analyst,https://www.indeed.com/rc/clk?jk=aa73ca53502a9db0&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=4f298a92c08195ac&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=4f298a92c08195ac&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",
Strategy & Planning Advisor - Intelligent Automation,https://www.indeed.com/rc/clk?jk=245a339c39c78f10&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Staff Statistician II,https://www.indeed.com/rc/clk?jk=00be62c57b6cc4ed&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Strategy & Planning Advisor - Intelligent Automation,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMofH_6zXbiqn6xehDj89HQNfpf30LHk40Y3Yl5cZTpp_cLCpVqmU1EYEhYgqBRCzbWwJRQYIZc8zNcCeg8sghWvsLzZHcGjti05ezPceTgEO0rhw2z_jLH0rYm4j5K5gCVm7hDviu8O7sta3Hw32iaLK6MP1HqWh7iMExZVmNbGZtlqNbkeq_BEL77wRC6OQbAMeNP8PAGiAHFjXq_8SAki1ojTlJzex_m6lRjLbuxhjnZirf9TU2ky062XuPgmCeEuclqUBTSpbXZV26YqftJ6ePpXOYVimDXaTM7aWCr1QRbCKXlLChJNAa9uo-CYLaeFteBRdu5P31HeeLYMsagvJm4E_ZDsU1x3RQANqJBwFcCZmMKjbUoAzx2Vwa__NLDsV_-530oz1ZfWjXKBgf-XRGnUHhO1zJh8h_qSCSOtEwwF5eLPLFAqLU8IM32usrs_WRSVQUDrWi5-Taagy1R-BSlChV_UP6szJ-dJNaQ9g1cBpztSXoCImxeRbswRcYtlCQhu5UPJLm4Juyyuu41f7pMX_UQdXIHyMyWzNWS73V1x7SCKSDBe9Xlcc0-8bI65yTAJjYSxpnDxxsUIKifN44qB5ovY--Ycbf-GWHfHqO86ceiJqlr0VJXnmah1hge1gDFRf8VK6pQob6Wq-hNzpihl0RVBvTtcsVTiQQ3jD1f66j3pyKXSFzbgJtXWypfGkDGYUDzNUERW0v32rNWgQ-0yQmqodBV8eYJ5YV5_yD617oXSazG-6DK28pxxHaymbsdHDqfNFmBnEDh7gBVuerRdqASUKTO7RiZQ_OjC1MFDztR5LHX-2HoWqdIhtgkNeJ2nvQEIJqAObnir7ZQJrOKUklhjheY2l4Dv53fDtpZJ0foxkqXGp38owaiwwvpwFS5bT7lEQCUCa8q-3XCdtypYVnZ5Eb-dNrSjB5ONk8V1G_hOQqDBVxgZqwnZKVpflfr-1DJZTg5VXn2DwSTqkb5jxO6oBdyS5NneS_ks4CP_QO4AaM_9tEuRhTDsEmnZA4zl9dqBPK_UNxQCDPUh70YMY8bQtkyPlzR8EOipXya7l_e3ewbO55XkCLrHXcj1Bxq5LcGu-OGf2R7xyhnubqb_Fthl8Tlc512evzWe7tEAAMjW0dt2BfZqzYcK3lRss7Q82RoCVbrW29avXxquNCVS2Enz_I48mXyN8eldhyMp55iOibf4rZfP7ayPsMaQ69ZuFazkOT3523cXRT7Bi12akirx9LzEqJeLd6Gq8jmKkbwrsnl8GBBw_618wCytuy-TkcrDsZk-0njyD-clFKQCX0JT1fyBNQP3igP8Db662ruQcZ&xkcb=SoAv-_M3JQvQahxSSJ0IbzkdCdPP&p=3&fvj=0&vjs=3,PNC Financial Services Group,"Pittsburgh, PA 15222 
(Strip District area)","Posted
Posted 30+ days ago",
Programmer Analyst,https://www.indeed.com/rc/clk?jk=7788c6414743ceee&fccid=f6a2dd88ba9a3b89&vjs=3,Saint Vincent College,"Latrobe, PA 15650","Posted
Posted 30+ days ago",
Data Scientist,https://www.indeed.com/rc/clk?jk=742d0d00bce8ae12&fccid=7655fb7543c6cbbf&vjs=3,Carnegie Mellon University,"Pittsburgh, PA 15213 
(Squirrel Hill North area)","Posted
Posted 30+ days ago",
Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=bad6bf847e86dd86&fccid=09e02654c2f26bbd&vjs=3,Recruiting From Scratch,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 30+ days ago","$140,000 - $180,000 a year"
Sr. Machine Learning Scientist,https://www.indeed.com/rc/clk?jk=3795af8d4f1deb13&fccid=dd616958bd9ddc12&vjs=3,Peptilogics,"Remote in Pittsburgh, PA","Posted
Posted 30+ days ago",
Medical Data Scientist,https://www.indeed.com/rc/clk?jk=a7ccc95b0a4dd76c&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Adjunct Faculty - Business and Data Science,https://www.indeed.com/rc/clk?jk=77fe5dd36f510591&fccid=99d983c189909ba4&vjs=3,Chatham University,"Pittsburgh, PA 15232 
(Shadyside area)","Posted
Posted 30+ days ago",
Software Engineer - Product Development,https://www.indeed.com/rc/clk?jk=d81cda674108d897&fccid=2fb270b34482755c&vjs=3,"Lucas Systems, Inc.","Wexford, PA 15090","Posted
Posted 30+ days ago",
Software Development Engineer in Test (Mid to Senior Level Opportunities) - Product Development,https://www.indeed.com/rc/clk?jk=8ea9b1e84a0fc5d5&fccid=2fb270b34482755c&vjs=3,"Lucas Systems, Inc.","Wexford, PA 15090","Posted
Posted 30+ days ago",
Big Data Developer,https://www.indeed.com/rc/clk?jk=1861febb5904a473&fccid=3f20b9848b31e1a9&vjs=3,Realign LLC,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Forward Deployed Quantitative Analyst,https://www.indeed.com/rc/clk?jk=3d162e82e49cbb1f&fccid=d96d91f14d33cc13&vjs=3,SESCO Enterprises,"Monroeville, PA","Posted
Posted 30+ days ago",
Software Development Engineer in Test (Mid to Senior Level Opportunities) - Product Development,https://www.indeed.com/rc/clk?jk=cde91d97194d2204&fccid=218c81fd9f510baf&vjs=3,Lucas Systems Inc,"Wexford, PA 15090","Posted
Posted 30+ days ago",
Faculty - PMR Statistician,https://www.indeed.com/rc/clk?jk=67e24d87583b2d6f&fccid=1f92178814b05d89&vjs=3,The University of Pittsburgh,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Software Engineer - Product Development,https://www.indeed.com/rc/clk?jk=f30b709188d5f4c6&fccid=218c81fd9f510baf&vjs=3,Lucas Systems Inc,"Wexford, PA 15090","Posted
Posted 30+ days ago",
"Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=51b8f6e4a2ba429a&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",
"Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=b7b845707a4d705f&fccid=b4048be2884af072&vjs=3,The Bank of New York Mellon Corporation,"Pittsburgh, PA","Posted
Posted 30+ days ago",
"Manager, Data Engineering",https://www.indeed.com/rc/clk?jk=8b3677746532e92c&fccid=8e5262323681d497&vjs=3,DDI,"Pittsburgh, PA","Posted
Posted 30+ days ago",
"Manager, Data Engineering",https://www.indeed.com/rc/clk?jk=74436b7063a91c6e&fccid=e59825abf339102e&vjs=3,"Development Dimensions International, Inc.","Pittsburgh, PA","Posted
Posted 30+ days ago",
Data Engineer,https://www.indeed.com/rc/clk?jk=0d8dd3d3e6712e02&fccid=932bcab1f7ee18f8&vjs=3,Govini,"Pittsburgh, PA","Posted
Posted 30+ days ago",
People Data Governance and Analytics Director,https://www.indeed.com/rc/clk?jk=e2ae3af82711569b&fccid=0ab42c4503235145&vjs=3,Fortive Corporate,"Pittsburgh, PA","Posted
Posted 30+ days ago","$140,600 - $261,200 a year"
"IT Solution Architect, Finance",https://www.indeed.com/rc/clk?jk=e3cf35c0c5422ad4&fccid=b271ddcad39e7c10&vjs=3,MSA Safety,"Cranberry Township, PA","Posted
Posted 30+ days ago",
CDP Technical Lead,https://www.indeed.com/rc/clk?jk=3f438005901ae4ca&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Data Scientist,https://www.indeed.com/rc/clk?jk=a29cef8b6295456f&fccid=932bcab1f7ee18f8&vjs=3,Govini,"Pittsburgh, PA","Posted
Posted 30+ days ago",
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=c1fbba7eab24f4e7&fccid=932bcab1f7ee18f8&vjs=3,Govini,"Pittsburgh, PA","Posted
Posted 30+ days ago",
"Senior Vice President, Financial Crimes Quantitative Analyst",https://www.indeed.com/rc/clk?jk=4a03cb166d101d77&fccid=b4048be2884af072&vjs=3,The Bank of New York Mellon Corporation,"Pittsburgh, PA","Posted
Posted 30+ days ago",
"Senior Vice President, Financial Crimes Quantitative Analyst",https://www.indeed.com/rc/clk?jk=2ebe994dc0f841c3&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago",
"Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=78c7f06e1d124cf0&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago","$125,000 - $175,000 a year"
"Senior Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=41b308651bb6f49d&fccid=b4048be2884af072&vjs=3,BNY Mellon,"Pittsburgh, PA 15219 
(Central Business District area)","Posted
Posted 30+ days ago","$175,000 - $225,000 a year"
"Senior Principal, Model Risk Management",https://www.indeed.com/rc/clk?jk=c063e5bd76a34078&fccid=b4048be2884af072&vjs=3,The Bank of New York Mellon Corporation,"Pittsburgh, PA","Posted
Posted 30+ days ago","$175,000 - $225,000 a year"
Statistician | The Center for Sleep and Circadian Science (CSCS),https://www.indeed.com/rc/clk?jk=cc49e3c06323fb86&fccid=b75dda97eecc3e82&vjs=3,UPMC,"Pittsburgh, PA 15213 
(North Oakland area)","Posted
Posted 30+ days ago",$30.06 - $50.63 an hour
Lead Data Engineer – Enterprise Data,https://www.indeed.com/rc/clk?jk=7830512502b2b21d&fccid=55a2bdb0a91b873d&vjs=3,DICK'S Sporting Goods,"Coraopolis, PA 15108","Posted
Posted 30+ days ago","$95,200 - $158,800 a year"
